back away|[bæk əˈweɪ]|отступать, пятиться
pass by|[pɑːs ˈbʌɪ]|проходить, проезжать мимо
pass up|[pɑːs ʌp]|упускать
patch up|[pæʧ ʌp]|улаживать
pick at||ковырять
pick off|[pɪk ɒf]|методично сбивать, отстреливать
pick on||придираться к
pick out|[pɪk aʊt]|разглядеть
play down|[pleɪ daʊn]|не заострять внимание на
play up|[pleɪ ʌp]|барахлить
polish off|[ˈpɒlɪʃ ɒf]|покончить с
pop in||заглядывать, заскакивать к кому-нибудь
pop out||выскакивать
pop up|[pɒp ʌp]|вылезать
pour into||устремляться в
press ahead|[pres əˈhed]|приступать к делу
press on|[pres ɒn]|продолжать
pull about|[pʊl əˈbaʊt]|трепать
push in|прил|влезать
push off|[pʊʃ ɒf]|убираться
push on|[pʊʃ ɒn]|двигаться вперед
push over||опрокидывать
push up|[pʊʃ ʌp]|повышать
put across|[pʊt əˈkrɒs]|объяснять
put by|[pʊt baɪ]|откладывать
put forth|[pʊt fɔːθ]|объявлять
put in for||подавать заявление на
put through|[pʊt θruː]|соединять, выполнять соединение
reach out|[riːʧ aʊt]|протягивать
reflect on||бросать тень на
root about||рыться
root for||болеть за
root out|[ruːt aʊt]|откопать
round off||завершать
run across|[rʌn əˈkrɒs]|натыкаться на
run down|[rʌn daʊn]|сокращать, сбивать
rush through||делать в спешке
score out||вычеркивать
scrape together|[skreɪp təˈgeðə]|наскребать
see about||заниматься
see off|[siː ɒf]|провожать
see through|[siː θruː]|доводить до конца
see to||позаботиться о
seize up|[siːz ʌp]|глохнуть
send for||заказывать
send in|гл|подавать заявление о
send up|сущ|запускать
serve out|[sɜːv aʊt]|раскладывать
set about||приступать к
set back|гл|задерживать
shoot down|[ʃuːt daʊn]|сбивать
shoot in||стремглав вбегать
shoot up|[ʃuːt ʌp]|подскакивать
shop around|[ʃɒp əˈraʊnd]|прицениваться
shout down|[ʃaʊt daʊn]|заглушать криками
show in||проводить внутрь
show out|[ʃəʊ aʊt]|провожать к выходу
shrug off|[ʃrʌg ɒf]|отмахиваться от
shut off|[ʃʌt ɒf]|отключать
shut out|[ʃʌt aʊt]|не пропускать
sign away|[saɪn əˈweɪ]|передавать
sign in||регистрироваться
sign off|[saɪn ɒf]|заканчивать
sign out||выписываться
sign up|[saɪn ʌp]|наниматься, подписаться
skate around||обходить
skate over||игнорировать
sleep around||спать с кем попало
slip up|[slɪp ʌp]|ошибаться
smooth over|[smuːð ˈəʊvə]|улаживать дела
sound off||высказаться о
square up||поквитаться с кем-либо
stamp out|[stamp aʊt]|затаптывать
stand for|[stænd fɔː]|обозначать, представлять
stand in for||замещать
stand up for||отстаивать
stem from||происходить от
stick up for||заступаться за
stir up|[stɜː ʌp]|вызывать
stop by|[stɒp baɪ]|заходить
stop up|[stɒp ʌp]|заделывать
strike out|[straɪk aʊt]|вычеркивать
tear along||нестись
tell on||жаловаться на
think up|[θɪŋk ʌp]|придумывать
touch on||затрагивать
touch up|[tʌʧ ʌp]|подкрашивать
